load_date,low_income_hd,high_income_hd,income_prevalence_gap
2026-02-17,0.127,0.0769,0.0501
2026-02-17,0.1494,0.0769,0.0725
2026-02-17,0.1525,0.0769,0.0756
2026-02-17,0.1823,0.0769,0.1054
2026-02-17,0.2056,0.0769,0.1287
2026-02-17,0.2703,0.0769,0.1934
2026-02-17,0.127,0.1127,0.0143
2026-02-17,0.1494,0.1127,0.0367
2026-02-17,0.1525,0.1127,0.0398
2026-02-17,0.1823,0.1127,0.0696
2026-02-17,0.2056,0.1127,0.0929
2026-02-17,0.2703,0.1127,0.1576
2026-02-17,0.127,0.0858,0.0412
2026-02-17,0.1494,0.0858,0.0636
2026-02-17,0.1525,0.0858,0.0667
2026-02-17,0.1823,0.0858,0.0965
2026-02-17,0.2056,0.0858,0.1198
2026-02-17,0.2703,0.0858,0.1845
2026-02-17,0.127,0.0582,0.0688
2026-02-17,0.1494,0.0582,0.0912
2026-02-17,0.1525,0.0582,0.0943
2026-02-17,0.1823,0.0582,0.1241
2026-02-17,0.2056,0.0582,0.1474
2026-02-17,0.2703,0.0582,0.2121
2026-02-17,0.127,0.0575,0.0695
2026-02-17,0.1494,0.0575,0.0919
2026-02-17,0.1525,0.0575,0.095
2026-02-17,0.1823,0.0575,0.1248
2026-02-17,0.2056,0.0575,0.1481
2026-02-17,0.2703,0.0575,0.2128
2026-02-17,0.127,0.0468,0.0802
2026-02-17,0.1494,0.0468,0.1026
2026-02-17,0.1525,0.0468,0.1057
2026-02-17,0.1823,0.0468,0.1355
2026-02-17,0.2056,0.0468,0.1588
2026-02-17,0.2703,0.0468,0.2235
