load_date,age_group,sex,income,education,bmi_band,risk_tier,respondents,heart_disease_rate
2026-02-17,6,1,1,6,Normal,Low,6,0.0
2026-02-17,13,0,3,5,Overweight,Low,41,0.0976
2026-02-17,13,0,3,5,Normal,Low,59,0.0678
2026-02-17,9,1,3,6,Obese,Medium,33,0.2121
2026-02-17,4,1,5,6,Obese,Medium,16,0.0
2026-02-17,2,0,2,6,Obese,Low,4,0.0
2026-02-17,12,0,4,5,Underweight,Medium,5,0.2
2026-02-17,13,0,1,3,Overweight,Low,8,0.0
2026-02-17,8,0,5,3,Obese,Medium,13,0.2308
2026-02-17,10,1,3,2,Overweight,Medium,8,0.25
2026-02-17,12,0,4,3,Normal,Medium,23,0.2174
2026-02-17,11,1,1,4,Obese,Low,3,0.3333
2026-02-17,5,0,8,3,Obese,Medium,1,0.0
2026-02-17,11,0,6,4,Normal,Low,114,0.0263
2026-02-17,9,0,5,6,Overweight,Low,89,0.0225
2026-02-17,8,0,7,6,Overweight,High,2,0.5
2026-02-17,9,0,5,3,Overweight,Medium,8,0.25
2026-02-17,1,1,7,5,Overweight,Medium,2,0.0
2026-02-17,7,0,3,6,Normal,Medium,8,0.625
2026-02-17,4,0,7,6,Obese,Medium,58,0.0345
2026-02-17,8,0,8,6,Obese,Low,427,0.0117
2026-02-17,7,1,8,5,Overweight,Low,388,0.0284
2026-02-17,8,1,1,3,Normal,Low,5,0.0
2026-02-17,9,1,5,5,Overweight,High,5,0.6
2026-02-17,8,0,8,6,Normal,High,1,0.0
2026-02-17,11,0,3,6,Underweight,Low,1,0.0
2026-02-17,11,1,4,5,Obese,Medium,41,0.3171
2026-02-17,5,1,1,4,Overweight,Low,14,0.2143
2026-02-17,1,1,6,6,Obese,Low,10,0.0
2026-02-17,5,1,7,3,Overweight,Medium,1,0.0
2026-02-17,3,0,7,4,Obese,Medium,13,0.0769
2026-02-17,8,0,3,4,Obese,Medium,114,0.1491
2026-02-17,12,0,5,5,Normal,High,4,0.25
2026-02-17,10,1,2,6,Obese,Medium,23,0.3043
2026-02-17,11,0,4,2,Overweight,High,1,1.0
2026-02-17,11,0,1,5,Normal,Medium,12,0.0833
2026-02-17,6,0,3,4,Overweight,High,1,0.0
2026-02-17,5,1,6,2,Obese,Medium,2,0.0
2026-02-17,5,0,2,5,Overweight,Low,16,0.0
2026-02-17,6,0,2,5,Obese,High,7,0.1429
2026-02-17,4,0,2,2,Overweight,Low,2,0.0
2026-02-17,6,0,6,4,Overweight,High,1,0.0
2026-02-17,3,0,5,3,Overweight,Low,4,0.0
2026-02-17,6,1,1,5,Normal,Low,4,0.0
2026-02-17,11,0,8,4,Overweight,Medium,45,0.0667
2026-02-17,9,0,3,3,Obese,Low,8,0.25
2026-02-17,13,0,8,4,Normal,Medium,23,0.2174
2026-02-17,12,1,3,3,Overweight,Medium,14,0.2143
2026-02-17,7,0,2,5,Overweight,High,1,1.0
2026-02-17,4,1,5,4,Normal,Low,24,0.0417
2026-02-17,11,1,3,5,Underweight,Low,2,0.0
2026-02-17,11,0,8,6,Normal,High,3,0.3333
2026-02-17,4,1,2,4,Normal,Low,11,0.0
2026-02-17,13,1,4,6,Underweight,Low,3,0.0
2026-02-17,7,0,4,2,Obese,Low,4,0.0
2026-02-17,6,1,5,4,Normal,Low,20,0.0
2026-02-17,1,1,4,1,Obese,High,1,1.0
2026-02-17,2,1,4,3,Normal,Low,1,0.0
2026-02-17,1,0,4,4,Underweight,Low,4,0.0
2026-02-17,12,1,1,5,Obese,Medium,2,0.5
2026-02-17,2,0,7,2,Overweight,Low,2,0.0
2026-02-17,7,0,6,6,Overweight,Medium,37,0.0
2026-02-17,3,0,5,5,Overweight,Medium,4,0.25
2026-02-17,12,0,2,3,Underweight,Medium,1,0.0
2026-02-17,7,1,8,5,Underweight,Medium,1,0.0
2026-02-17,10,0,8,6,Underweight,Medium,8,0.125
2026-02-17,7,0,2,5,Underweight,Low,3,0.3333
2026-02-17,3,1,8,5,Normal,Low,96,0.0
2026-02-17,11,1,3,5,Overweight,Low,20,0.15
2026-02-17,13,1,8,3,Overweight,Low,7,0.1429
2026-02-17,13,0,8,5,Overweight,Low,33,0.1818
2026-02-17,13,1,5,5,Overweight,Medium,74,0.3243
2026-02-17,11,1,5,6,Overweight,Medium,62,0.2903
