load_date,factor,factor_value,respondents,heart_disease_rate
2026-02-17,any_healthcare,1,241263,0.0954
2026-02-17,any_healthcare,0,12417,0.0701
2026-02-17,smoker,1,112423,0.1317
2026-02-17,obese,0,165829,0.083
2026-02-17,phys_activity,0,61760,0.1391
2026-02-17,no_docbc_cost,1,21354,0.1241
2026-02-17,obese,1,87851,0.1153
2026-02-17,high_bp,0,144851,0.0412
2026-02-17,no_docbc_cost,0,232326,0.0914
2026-02-17,hvy_alcohol,0,239424,0.0963
2026-02-17,diabetes,2,35346,0.2229
2026-02-17,diff_walk,0,211005,0.0662
2026-02-17,diabetes,1,4631,0.1434
2026-02-17,diff_walk,1,42675,0.2323
2026-02-17,high_chol,0,146089,0.0489
2026-02-17,stroke,0,243388,0.082
2026-02-17,diabetes,0,213703,0.0718
2026-02-17,fruits,1,160898,0.0898
2026-02-17,smoker,0,141257,0.0644
2026-02-17,high_bp,1,108829,0.1647
2026-02-17,fruits,0,92782,0.1018
2026-02-17,hvy_alcohol,1,14256,0.0595
2026-02-17,veggies,0,47839,0.1179
2026-02-17,veggies,1,205841,0.0887
2026-02-17,phys_activity,1,191920,0.0797
2026-02-17,stroke,1,10292,0.3825
2026-02-17,high_chol,1,107591,0.1557
